HostRegionCode,MatchStageCode,StadiumCapacity,TicketHolders,TransitPassengers,PedestrianVolume,EgressMinutes,FTAFundingMillions,Outcome
7,4,64478,55389,14261,5641,113,8.697430,0
5,0,69045,59782,4095,5560,118,8.632123,0
6,0,70492,59379,18865,8206,97,9.603284,0
3,0,70649,56511,3237,4521,106,10.033037,0
3,1,70649,68007,9721,19050,119,10.033037,0
8,1,80663,66746,17481,40758,72,10.438681,0
7,3,64478,54399,12554,8579,123,8.697430,0
2,0,64146,57068,13918,18861,111,8.671598,1
6,0,70492,57666,21072,10040,100,9.603284,0
1,1,68239,50798,23717,18028,56,9.391018,0
8,0,80663,73008,25896,39453,75,10.438681,0
5,1,69045,55914,9002,4553,128,8.632123,0
2,0,64146,52858,10273,11217,96,8.671598,0
7,0,64478,56379,14091,11450,116,8.697430,0
3,0,70649,64174,7102,5134,113,10.033037,0
1,1,68239,59199,30316,18664,64,9.391018,0
5,0,69045,58496,2925,6897,115,8.632123,0
1,0,68239,57163,31961,20476,58,9.391018,0
7,0,64478,53149,11263,7294,121,8.697430,0
4,0,68777,56237,17635,21152,75,9.092387,0
7,0,64478,51954,11421,7452,108,8.697430,0
5,0,69045,54173,2709,4334,119,8.632123,0
7,0,64478,49077,11197,5859,107,8.697430,0
10,0,68827,56275,31090,22136,90,8.807888,0
4,2,68777,56131,17183,24129,79,9.092387,0
9,1,68324,58967,24557,32070,87,8.474327,1
1,0,68239,55762,26448,20566,70,9.391018,0
8,0,80663,59379,15698,35651,59,10.438681,0
4,0,68777,49604,13147,10093,86,9.092387,0
8,0,80663,68650,26012,37153,75,10.438681,0
6,0,70492,61198,20994,11766,103,9.603284,0
3,0,70649,54372,9474,4778,108,10.033037,0
1,0,68239,46488,19387,15110,53,9.391018,0
5,1,69045,58949,10839,4716,131,8.632123,0
5,0,69045,56217,5552,10357,109,8.632123,0
9,0,68324,60682,28012,34878,85,8.474327,1
6,1,70492,65103,30963,18880,104,9.603284,1
4,0,68777,60320,20549,19009,70,9.092387,0
3,1,70649,66021,7484,6828,102,10.033037,0
1,1,68239,61552,26559,21408,64,9.391018,0
11,0,66925,54411,28951,30646,62,8.408439,1
1,0,68239,53468,25775,25044,71,9.391018,0
5,2,69045,61492,11247,11019,119,8.632123,0
6,0,70492,63701,21476,12492,101,9.603284,0
5,0,69045,63827,6583,7984,131,8.632123,0
1,0,68239,61391,28015,23905,70,9.391018,0
2,0,64146,54018,11972,13560,103,8.671598,0
1,0,68239,60984,27120,21633,58,9.391018,0
6,4,70492,63557,27002,14691,125,9.603284,1
8,0,80663,60240,19318,29346,61,10.438681,0
9,0,68324,56419,22066,26131,79,8.474327,0
1,1,68239,58540,31074,19886,39,9.391018,0
3,1,70649,65682,8774,8574,120,10.033037,0
4,0,68777,56653,15923,20833,82,9.092387,0
3,0,70649,64302,11884,17759,117,10.033037,1
8,1,80663,68721,24578,48330,73,10.438681,0
10,0,68827,57844,30899,13434,95,8.807888,0
2,0,64146,55489,15678,11728,105,8.671598,0
8,0,80663,75548,22986,36093,78,10.438681,0
8,1,80663,79673,29800,48468,69,10.438681,1
10,0,68827,62877,34982,19711,76,8.807888,0
5,0,69045,60266,7101,4821,109,8.632123,0
8,0,80663,66639,16258,36242,46,10.438681,0
11,0,66925,57100,27478,38506,65,8.408439,1
10,0,68827,54160,23745,24564,91,8.807888,0
10,0,68827,63226,32494,21460,84,8.807888,1
3,0,70649,59810,11946,10432,112,10.033037,0
9,3,68324,62286,26608,32865,76,8.474327,1
2,0,64146,55170,10193,12840,92,8.671598,0
4,0,68777,57861,18072,23229,84,9.092387,0
6,1,70492,67486,26042,5859,112,9.603284,1
5,1,69045,58177,6009,6852,109,8.632123,0
3,1,70649,66365,14123,9911,112,10.033037,0
10,0,68827,68689,39958,27197,101,8.807888,1
9,0,68324,54091,23467,24786,80,8.474327,0
9,1,68324,57744,31098,23144,83,8.474327,1
3,0,70649,54498,6411,8867,104,10.033037,0
1,0,68239,59631,28426,27716,66,9.391018,0
6,3,70492,62497,28539,17055,141,9.603284,1
11,0,66925,59063,37917,30815,72,8.408439,1
7,1,64478,52284,10689,6647,127,8.697430,0
4,0,68777,57491,11519,18010,61,9.092387,0
2,4,64146,64018,20022,20058,116,8.671598,1
11,0,66925,57649,26762,32659,65,8.408439,1
5,2,69045,63466,5743,5077,120,8.632123,0
11,0,66925,55005,27183,29976,62,8.408439,0
6,0,70492,61774,27612,15257,103,9.603284,1
1,0,68239,57250,29770,19418,58,9.391018,0
2,2,64146,56013,13222,8755,100,8.671598,0
1,0,68239,56766,31798,23626,60,9.391018,0
3,0,70649,62621,8196,13478,125,10.033037,0
10,0,68827,53619,28377,21522,75,8.807888,0
10,0,68827,60749,32747,21166,90,8.807888,1
3,1,70649,63658,10006,10753,111,10.033037,0
8,0,80663,73845,25968,42146,70,10.438681,1
10,0,68827,55354,33383,23092,77,8.807888,1
10,2,68827,68267,42038,34302,98,8.807888,1
6,0,70492,45605,14640,10146,94,9.603284,0
8,3,80663,75403,29877,53150,82,10.438681,1
2,0,64146,50957,15209,4796,96,8.671598,0
9,0,68324,51313,21947,23916,70,8.474327,0
1,0,68239,56980,25578,21738,48,9.391018,0
9,0,68324,58326,23853,28726,105,8.474327,1
1,1,68239,66516,30791,29993,71,9.391018,1
1,0,68239,61523,23575,21264,74,9.391018,0
11,0,66925,56284,26611,28925,77,8.408439,1
4,1,68777,52452,15769,14539,82,9.092387,0
4,0,68777,58142,21422,15637,93,9.092387,0
3,0,70649,59270,10992,8219,113,10.033037,0
4,2,68777,62191,16021,17902,90,9.092387,0
6,0,70492,59609,26495,12398,89,9.603284,0
1,0,68239,60394,37406,25136,73,9.391018,1
4,0,68777,50805,16243,17237,97,9.092387,0
3,2,70649,58029,11154,13094,122,10.033037,0
8,0,80663,65577,15049,45137,63,10.438681,0
11,0,66925,58571,32682,29632,77,8.408439,1
7,0,64478,55616,14180,8837,117,8.697430,0
8,0,80663,69977,23398,44277,87,10.438681,1
8,0,80663,66889,20596,49870,74,10.438681,1
4,1,68777,61574,20464,17178,79,9.092387,0
2,0,64146,53243,13331,13313,91,8.671598,0
3,0,70649,60923,10816,13153,115,10.033037,0
1,0,68239,59318,24271,23253,67,9.391018,0
7,0,64478,46337,7153,5541,106,8.697430,0
8,0,80663,60623,15401,43601,51,10.438681,0
10,0,68827,67099,34586,27754,100,8.807888,1
2,1,64146,61942,17956,14575,121,8.671598,1
1,0,68239,55808,29716,18724,56,9.391018,0
6,0,70492,59688,23525,5776,86,9.603284,0
8,0,80663,67761,13302,39487,83,10.438681,0
10,1,68827,59138,28051,21847,99,8.807888,1
10,0,68827,57893,32701,21686,84,8.807888,1
11,0,66925,60872,35573,35896,70,8.408439,1
2,0,64146,59248,13346,19199,104,8.671598,1
9,0,68324,58966,28803,31283,76,8.474327,1
3,0,70649,62365,14892,8947,114,10.033037,0
8,0,80663,63808,18251,37797,69,10.438681,0
5,1,69045,63333,4500,5067,121,8.632123,0
11,0,66925,55974,29021,27438,69,8.408439,0
3,0,70649,63335,8919,5067,121,10.033037,0
8,0,80663,63525,14251,42687,74,10.438681,0
4,0,68777,60649,22074,21710,82,9.092387,0
5,0,69045,51029,4194,8773,113,8.632123,0
6,0,70492,56965,22616,11602,117,9.603284,0
3,0,70649,58512,8735,8733,110,10.033037,0
5,3,69045,68219,10899,11422,116,8.632123,1
9,1,68324,52189,19947,22121,75,8.474327,0
6,0,70492,62218,27898,13299,109,9.603284,0
6,0,70492,66744,29740,11286,113,9.603284,1
6,4,70492,65852,27168,15494,107,9.603284,1
5,0,69045,59098,7212,6947,116,8.632123,0
1,2,68239,59702,28045,20445,74,9.391018,0
6,2,70492,56357,15166,15439,111,9.603284,0
5,0,69045,55478,5982,7117,117,8.632123,0
3,0,70649,65553,9594,5829,126,10.033037,0
8,2,80663,73123,25264,38846,71,10.438681,1
9,3,68324,66723,31850,36972,102,8.474327,1
8,0,80663,56752,19718,32879,73,10.438681,0
4,1,68777,68639,19824,17337,93,9.092387,1
8,2,80663,71194,24134,40812,85,10.438681,1
2,3,64146,61059,14846,14677,115,8.671598,1
9,0,68324,52264,27856,25040,79,8.474327,0
2,0,64146,47277,13970,12798,92,8.671598,0
8,0,80663,73350,22318,40938,76,10.438681,1
6,1,70492,60044,24614,15462,109,9.603284,0
8,3,80663,68283,25804,47394,81,10.438681,1
2,2,64146,64018,20695,20441,110,8.671598,1
10,0,68827,57538,35500,23212,68,8.807888,0
7,0,64478,53357,16656,11646,127,8.697430,0
2,0,64146,60210,12683,11738,119,8.671598,1
3,1,70649,60947,3923,10237,117,10.033037,0
4,0,68777,53439,16173,16583,84,9.092387,0
4,0,68777,56410,21506,16521,79,9.092387,0
1,0,68239,62798,25932,28967,60,9.391018,0
2,0,64146,49218,12449,6864,103,8.671598,0
5,0,69045,60178,4302,11743,131,8.632123,0
9,0,68324,56276,27131,23133,76,8.474327,0
10,1,68827,60027,34789,23126,105,8.807888,1
11,1,66925,46928,22825,24809,67,8.408439,0
10,0,68827,54352,25317,17934,79,8.807888,0
5,4,69045,61987,7469,6868,131,8.632123,0
3,0,70649,55436,6299,5302,122,10.033037,0
1,0,68239,56916,31357,22039,62,9.391018,0
5,1,69045,59458,2973,4757,116,8.632123,0
8,0,80663,64146,17764,41157,63,10.438681,0
6,0,70492,57534,20702,14731,100,9.603284,0
10,5,68827,68689,40487,33019,107,8.807888,1
5,2,69045,64764,10488,12802,130,8.632123,1
1,0,68239,52225,22221,19306,75,9.391018,0
10,0,68827,59327,34598,25586,87,8.807888,1
3,0,70649,62550,16218,12497,109,10.033037,0
6,0,70492,64222,22768,13791,98,9.603284,0
2,0,64146,59483,16629,18959,115,8.671598,1
4,1,68777,62302,26655,20406,94,9.092387,1
7,3,64478,57767,15051,4621,128,8.697430,1
2,0,64146,64018,14998,14228,97,8.671598,1
3,0,70649,59540,2977,14322,104,10.033037,0
10,1,68827,65222,34791,24384,89,8.807888,1
6,0,70492,65157,25851,12604,108,9.603284,0
3,0,70649,66505,8128,8619,113,10.033037,0
10,0,68827,64612,34009,23144,89,8.807888,1
7,0,64478,50532,13165,6511,108,8.697430,0
2,0,64146,55606,14021,12648,93,8.671598,0
11,0,66925,52404,24772,30971,59,8.408439,0
10,3,68827,62836,38944,21381,98,8.807888,1
7,0,64478,47232,4686,4999,111,8.697430,0
9,0,68324,55132,26132,22553,85,8.474327,0
4,0,68777,60878,21595,22212,72,9.092387,0
1,0,68239,48193,19708,19736,53,9.391018,0
2,0,64146,48992,11396,13754,106,8.671598,0
11,0,66925,50061,31742,31452,65,8.408439,1
4,2,68777,60103,21749,22438,94,9.092387,1
11,0,66925,50027,23367,28248,59,8.408439,0
7,0,64478,46886,12690,9817,111,8.697430,0
